,image_names,clusters
0,45.jpg,2
1,46.jpg,2
2,464.jpg,7
3,466.jpg,7
4,479.jpg,7
5,1226.jpg,15
6,1227.jpg,15
7,1233.jpg,15
8,1234.jpg,15
9,1311.jpg,17
10,1720.jpg,20
11,1723.jpg,22
12,1724.jpg,22
13,1727.jpg,22
14,1728.jpg,22
15,193.jpg,1
16,194.jpg,1
17,195.jpg,1
18,198.jpg,1
19,245.jpg,1
20,1384.jpg,10
21,1393.jpg,10
22,1408.jpg,10
23,145.jpg,0
24,1458.jpg,19
25,1514.jpg,19
26,1614.jpg,4
27,1615.jpg,4
28,1620.jpg,4
29,1621.jpg,4
30,312.jpg,13
31,32.jpg,2
32,33.jpg,2
33,330.jpg,13
34,35.jpg,2
35,1712.jpg,20
36,1716.jpg,20
37,1717.jpg,20
38,1718.jpg,20
39,1719.jpg,20
40,27.jpg,2
41,275.jpg,3
42,280.jpg,3
43,30.jpg,2
44,31.jpg,2
45,1319.jpg,17
46,1343.jpg,12
47,1344.jpg,12
48,1356.jpg,12
49,137.jpg,0
50,1214.jpg,15
51,1217.jpg,15
52,1222.jpg,15
53,1224.jpg,15
54,1225.jpg,15
55,1375.jpg,10
56,138.jpg,0
57,1381.jpg,10
58,1382.jpg,10
59,1383.jpg,10
60,101.jpg,9
61,1210.jpg,15
62,1211.jpg,15
63,1212.jpg,15
64,1213.jpg,15
65,1649.jpg,21
66,1650.jpg,21
67,1656.jpg,18
68,1663.jpg,18
69,1666.jpg,18
70,167.jpg,1
71,1674.jpg,16
72,1678.jpg,16
73,1679.jpg,16
74,1686.jpg,16
75,146.jpg,0
76,1465.jpg,19
77,1466.jpg,19
78,1485.jpg,11
79,1498.jpg,11
80,400.jpg,14
81,41.jpg,2
82,42.jpg,2
83,431.jpg,14
84,44.jpg,2
85,480.jpg,7
86,481.jpg,7
87,482.jpg,7
88,483.jpg,7
89,485.jpg,7
90,1785.jpg,8
91,1793.jpg,8
92,1794.jpg,8
93,1866.jpg,9
94,192.jpg,1
95,361.jpg,14
96,37.jpg,2
97,38.jpg,2
98,39.jpg,2
99,40.jpg,2
100,734.jpg,5
101,737.jpg,5
102,90.jpg,9
103,486.jpg,7
104,487.jpg,7
105,520.jpg,7
106,522.jpg,7
107,523.jpg,7
108,530.jpg,7
109,686.jpg,6
110,687.jpg,6
111,724.jpg,6
112,733.jpg,5
